2017-02-15,526,GET http://cdn.v.abc.com.cn/141011.mp4 HTTP/1.1
2017-02-15,275,GET http://cdn.v.abc.com.cn/140987.mp4 HTTP/1.1
2017-02-15,75,GET http://cdn.v.abc.com.cn/140853.mp4 HTTP/1.1
2017-02-15,120,GET http://cdn.v.abc.com.cn/140981.mp4 HTTP/1.1
2017-02-15,107,GET http://cdn.v.abc.com.cn/141010.mp4 HTTP/1.1
2017-02-15,64,GET http://cdn.v.abc.com.cn/140888.mp4 HTTP/1.1
2017-02-15,72,GET http://cdn.v.abc.com.cn/140890.mp4 HTTP/1.1
2017-02-15,2,GET http://cdn.v.abc.com.cn/139369.mp4 HTTP/1.1
2017-02-15,175,GET http://cdn.v.abc.com.cn/140851.mp4 HTTP/1.1
2017-02-15,73,GET http://cdn.v.abc.com.cn/140994.mp4 HTTP/1.1
2017-02-15,34,GET http://cdn.v.abc.com.cn/140721.mp4 HTTP/1.1
2017-02-15,109,GET http://cdn.v.abc.com.cn/141009.mp4 HTTP/1.1
2017-02-15,97,GET http://cdn.v.abc.com.cn/140852.mp4 HTTP/1.1
2017-02-15,18,GET http://cdn.v.abc.com.cn/140758.mp4 HTTP/1.1
2017-02-15,5,GET http://cdn.v.abc.com.cn/140650.mp4 HTTP/1.1
2017-02-15,54,GET http://cdn.v.abc.com.cn/140835.mp4 HTTP/1.1
2017-02-15,90,GET http://cdn.v.abc.com.cn/140875.mp4 HTTP/1.1
2017-02-15,34,GET http://cdn.v.abc.com.cn/140824.mp4 HTTP/1.1
2017-02-15,17,GET http://cdn.v.abc.com.cn/140685.mp4 HTTP/1.1
2017-02-15,18,GET http://cdn.v.abc.com.cn/140701.mp4 HTTP/1.1
2017-02-15,66,GET http://cdn.v.abc.com.cn/140877.mp4 HTTP/1.1
2017-02-15,9,GET http://cdn.v.abc.com.cn/140744.mp4 HTTP/1.1
2017-02-15,12,GET http://cdn.v.abc.com.cn/140757.mp4 HTTP/1.1
2017-02-15,160,GET http://cdn.v.abc.com.cn/139378.mp4 HTTP/1.1
2017-02-15,2,GET http://cdn.v.abc.com.cn/140557.mp4 HTTP/1.1
2017-02-15,73,GET http://cdn.v.abc.com.cn/140899.mp4 HTTP/1.1
2017-02-02,1,GET http://cdn.v.abc.com.cn/141011.mp4 HTTP/1.1
2017-02-15,14,GET http://cdn.v.abc.com.cn/140707.mp4 HTTP/1.1
2017-02-15,10,GET http://cdn.v.abc.com.cn/140704.mp4 HTTP/1.1
2017-02-15,34,GET http://cdn.v.abc.com.cn/140825.mp4 HTTP/1.1
2017-02-15,55,GET http://cdn.v.abc.com.cn/140891.mp4 HTTP/1.1
2017-02-15,38,GET http://cdn.v.abc.com.cn/140718.mp4 HTTP/1.1
2017-02-15,1,GET http://cdn.v.abc.com.cn/138733.mp4 HTTP/1.1
2017-02-15,3,GET http://cdn.v.abc.com.cn/140307.mp4 HTTP/1.1
2017-02-15,6,GET http://cdn.v.abc.com.cn/140199.mp4 HTTP/1.1
2017-02-15,566,GET http://cdn.v.abc.com.cn/141027.mp4 HTTP/1.1
2017-02-15,15,GET http://cdn.v.abc.com.cn/140686.mp4 HTTP/1.1
2017-02-15,5,GET http://cdn.v.abc.com.cn/140631.mp4 HTTP/1.1
2017-02-15,113,GET http://cdn.v.abc.com.cn/140330.mp4 HTTP/1.1
2017-02-15,10,GET http://cdn.v.abc.com.cn/140195.mp4 HTTP/1.1
2017-02-15,1,GET http://cdn.v.abc.com.cn/138808.mp4 HTTP/1.1
2017-02-15,18,GET http://cdn.v.abc.com.cn/140722.mp4 HTTP/1.1
2017-02-15,9,GET http://cdn.v.abc.com.cn/139716.mp4 HTTP/1.1
2017-02-15,37,GET http://cdn.v.abc.com.cn/140996.mp4 HTTP/1.1
2017-02-15,164,GET http://cdn.v.abc.com.cn/141003.mp4 HTTP/1.1
2017-02-15,2,GET http://cdn.v.abc.com.cn/138063.mp4 HTTP/1.1
2017-02-15,2,GET http://cdn.v.abc.com.cn/137277.mp4 HTTP/1.1
2017-02-15,4,GET http://cdn.v.abc.com.cn/136912.mp4 HTTP/1.1
2017-02-15,6,GET http://cdn.v.abc.com.cn/140306.mp4 HTTP/1.1
2017-02-15,19,GET http://cdn.v.abc.com.cn/140534.mp4 HTTP/1.1
2017-02-15,12,GET http://cdn.v.abc.com.cn/140328.mp4 HTTP/1.1
2017-02-15,4,GET http://cdn.v.abc.com.cn/140634.mp4 HTTP/1.1
2017-02-15,5,GET http://cdn.v.abc.com.cn/140566.mp4 HTTP/1.1
2017-02-15,1,GET http://cdn.v.abc.com.cn/136871.mp4 HTTP/1.1
2017-02-15,3,GET http://cdn.v.abc.com.cn/138071.mp4 HTTP/1.1
2017-02-15,3,GET http://cdn.v.abc.com.cn/140331.mp4 HTTP/1.1
