2017-02-15,43631
2017-02-02,13
2017-05-09,1
2017-02-16,15
2019-03-15,1
2017-02-01,8
2018-03-15,1
2017-02-20,6
2017-07-01,4
2017-02-25,3
2017-01-31,2
2018-08-15,4
2018-03-01,1
2018-08-02,2
2017-03-30,1
2017-03-20,1
2017-02-18,2
2017-02-21,2
2017-02-17,8
2020-12-15,1
2017-01-15,9
2017-02-10,4
2017-02-19,3
2017-10-18,1
2017-08-15,2
2017-02-09,1
2016-12-15,1
2017-01-09,1
2017-04-07,1
2020-01-01,1
2018-03-25,1
2018-08-20,1
2017-03-19,1
2017-05-18,1
2018-08-01,1
2017-08-01,1
2017-08-12,1
2017-07-17,1
2018-03-13,1
2017-03-31,1
2018-10-08,1
2020-05-15,1
2017-05-10,1
2017-03-07,1
2017-10-09,1
2017-05-02,1
2017-02-04,1
2017-05-15,2
2017-08-11,1
2017-02-05,2
2012-02-15,1
2017-02-07,2
2017-01-01,1
2017-11-10,1
2017-10-15,1
2017-06-20,1
2017-03-14,1
2018-02-15,1
2019-06-15,1
2017-02-06,2
2018-03-06,1
1974-03-11,1
2016-12-17,1
2018-03-02,1
2019-04-15,1
2017-01-03,1
2018-03-23,1
2016-12-31,1
2016-12-05,1
2017-10-23,1
